,CALI,DEPTH,DTC,GR,NPHI,RDEP,RHOB,SP,WELL
21386,19.5,494.08810425,163.36882019,75.698516846,,1.806982398,1.9814074039,23.181200027,15/9-13
21387,19.5,494.24050903,162.98240662,77.883407593,,1.7960015535,1.9826134443,23.308403015,15/9-13
21388,19.5,494.39291382,162.32218933,79.629508972,,1.797005415,1.9847261906,24.805606842,15/9-13
21389,19.468999863,494.5453186,160.98710632,80.552368164,,1.7999873161,1.9888013601,24.586589813,15/9-13
21390,19.468999863,494.69772339,160.98158264,78.408279419,,1.7930234671,1.9890166521,23.806224823,15/9-13
21391,19.468999863,494.85012817,160.12528992,72.503128052,,1.8059873581,1.9916001558,23.930719376,15/9-13
21392,19.452999115,495.00250244,160.1524353,73.113891602,,1.7989903688,1.9916001558,23.775600433,15/9-13
21393,19.452999115,495.15490723,160.12527466,70.822616577,,1.7930320501,1.9915995598,24.149599075,15/9-13
21394,19.452999115,495.30731201,160.16062927,72.811203003,,1.8129807711,1.99147439,23.899047852,15/9-13
21395,19.468999863,495.4597168,161.41023254,72.428688049,,1.8010215759,1.9874813557,23.306674957,15/9-13
21396,19.468999863,495.61212158,162.32524109,70.493431091,,1.8130071163,1.9846179485,23.677846909,15/9-13
21397,19.468999863,495.76452637,161.45741272,69.166725159,,1.8169909716,1.9874205589,21.934604645,15/9-13
21398,19.468999863,495.91693115,160.44459534,64.946136475,,1.8120000362,1.9906198978,23.931224823,15/9-13
21399,19.468999863,496.06930542,159.49238586,66.566009521,,1.8120160103,1.9937143326,24.055450439,15/9-13
21400,19.468999863,496.22171021,158.75639343,67.214736938,,1.8219791651,1.9959925413,23.713748932,15/9-13
21401,19.468999863,496.37411499,159.13922119,72.748497009,,1.8090480566,1.9947999716,24.181200027,15/9-13
21402,19.468999863,496.52651978,159.11178589,72.433799744,,1.8389891386,1.9947999716,24.305999756,15/9-13
21403,19.452999115,496.67892456,159.14169312,71.558937073,,1.8329801559,1.9947929382,24.306224823,15/9-13
21404,19.483999252,496.83132935,159.49394226,70.780662537,,1.822014451,1.9937096834,24.429647446,15/9-13
21405,19.5,496.98373413,159.02270508,76.878440857,,1.8299802542,1.9951916933,23.680774689,15/9-13
21406,19.5,497.1361084,159.41340637,77.560295105,,1.8190096617,1.9938875437,23.556200027,15/9-13
21407,19.5,497.28851318,160.01087952,76.975074768,,1.824996829,1.991885066,23.681200027,15/9-13
21408,19.5,497.44091797,160.8125,71.816307068,,1.8229984045,1.9894859791,23.806852341,15/9-13
21409,19.5,497.59332275,161.46160889,72.510215759,,1.8219982386,1.9873076677,24.338392258,15/9-13
21410,19.5,497.74572754,161.10231018,74.608108521,,1.8209909201,1.9885128736,24.557126999,15/9-13
21411,19.5,497.89813232,160.47975159,71.239051819,,1.8159891367,1.9905102253,25.179872513,15/9-13
21412,19.516000748,498.05047607,160.00463867,69.06300354,,1.8100181818,1.9921041727,24.554992676,15/9-13
21413,19.516000748,498.20288086,159.79678345,69.069618225,,1.8230125904,1.9927928448,23.838479996,15/9-13
21414,19.516000748,498.35528564,160.09246826,70.488777161,,1.8319971561,1.9916032553,24.180473328,15/9-13
21415,19.516000748,498.50769043,160.00422668,68.053504944,,1.8300098181,1.9921042919,23.807050705,15/9-13
21416,19.5,498.66009521,159.73539734,66.023605347,,1.8370096684,1.9928005934,24.555450439,15/9-13
21417,19.5,498.8125,159.73391724,71.131607056,,1.8429871798,1.9929043055,24.211997986,15/9-13
21418,19.5,498.96487427,159.49861145,72.514968872,,1.835005641,1.9935952425,23.589006424,15/9-13
21419,19.468999863,499.11727905,159.76756287,75.729850769,,1.8389985561,1.9927994013,24.305519104,15/9-13
21420,19.5,499.26968384,159.79858398,71.399177551,,1.838008523,1.9926885366,23.96330452,15/9-13
21421,19.5,499.42208862,160.3916626,76.607444763,,1.8439971209,1.9907975197,24.17889595,15/9-13
21422,19.5,499.57449341,160.48297119,72.824226379,,1.8419775963,1.9903999567,22.683002472,15/9-13
21423,19.5,499.72689819,160.51029968,75.237983704,,1.8280303478,1.9903999567,23.931400299,15/9-13
21424,19.5,499.87930298,160.51013184,72.772216797,,1.8469903469,1.9903999567,24.180398941,15/9-13
21425,19.5,500.03167725,160.48188782,77.181694031,,1.8409887552,1.9904029369,23.805999756,15/9-13
21426,19.5,500.18408203,160.32774353,75.852478027,,1.8329957724,1.9909120798,23.806306839,15/9-13
21427,19.5,500.33648682,159.70437622,71.165176392,,1.8299958706,1.9929120541,24.025175095,15/9-13
21428,19.5,500.4888916,159.13867188,66.435897827,,1.8270112276,1.9949018955,24.150175095,15/9-13
21429,19.5,500.64129639,159.02076721,66.015014648,,1.8349711895,1.9951975346,24.274198532,15/9-13
21430,19.452999115,500.79370117,159.11325073,68.987487793,,1.8170176744,1.9947949648,23.775650024,15/9-13
